epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07454,2.24558,3.22677,2.40952,0.00981,0.86905,0.10073,0.02328,2.15896,3.01818,2.61181,5.716e-05,5.716e-05,5.716e-05
2,6.68935,2.34244,3.42282,2.69438,0.00999,0.91071,0.13945,0.04049,2.03836,3.01911,2.33748,0.000126064,0.000126064,0.000126064
3,8.14593,1.90625,3.14386,2.08944,0.01004,0.8631,0.20952,0.07004,1.98835,3.03369,2.11108,0.000192138,0.000192138,0.000192138
4,9.53701,1.68884,2.90607,1.92921,0.0122,1,0.26455,0.07402,1.93848,3.02884,2.04274,0.000255382,0.000255382,0.000255382
5,11.0283,1.57075,2.61975,1.79245,0.0127,1,0.43776,0.18054,1.61487,2.84263,1.75998,0.000315798,0.000315798,0.000315798
6,12.3838,1.52009,2.48539,1.7406,0.01327,1,0.36461,0.15321,1.6276,2.74384,1.7837,0.000373383,0.000373383,0.000373383
7,13.8914,1.60239,2.20315,1.76623,0.01503,1,0.28443,0.12169,1.74751,2.77841,1.83874,0.00042814,0.00042814,0.00042814
8,15.3203,1.46234,2.26529,1.6539,0.01411,1,0.26536,0.12332,1.84921,2.73918,1.91571,0.000480067,0.000480067,0.000480067
9,17.3372,1.54748,2.08475,1.69401,0.01248,1,0.267,0.1102,1.90439,2.66898,2.00553,0.000529164,0.000529164,0.000529164
10,19.1095,1.38174,2.0491,1.55272,0.57157,0.20833,0.30614,0.12716,1.82769,2.60738,1.95367,0.000575433,0.000575433,0.000575433
11,20.5196,1.45869,1.98937,1.63321,0.43699,0.2044,0.31477,0.13565,1.80363,2.61273,1.91835,0.000618871,0.000618871,0.000618871
12,21.8375,1.40958,1.95751,1.56238,0.24107,0.2294,0.22695,0.08272,1.88588,2.66257,2.07269,0.000659481,0.000659481,0.000659481
13,23.1052,1.39472,1.8278,1.57421,0.16603,0.22238,0.2399,0.10583,1.72924,2.52214,1.96926,0.000697261,0.000697261,0.000697261
14,24.5313,1.4257,1.95824,1.5685,0.37375,0.33886,0.37148,0.20638,1.61942,2.24242,1.8043,0.000732211,0.000732211,0.000732211
15,25.9465,1.40186,1.74443,1.55873,0.3687,0.43452,0.39537,0.15475,2.02033,2.41836,2.27572,0.000764332,0.000764332,0.000764332
16,27.2951,1.38647,1.94708,1.54902,0.64524,0.30357,0.44006,0.15451,2.05552,2.43677,2.28287,0.000793624,0.000793624,0.000793624
17,28.8756,1.378,1.74821,1.50207,0.4322,0.44048,0.4914,0.23246,1.87724,2.07711,1.93705,0.000820086,0.000820086,0.000820086
18,31.0176,1.34731,1.6283,1.43748,0.59843,0.52381,0.60566,0.30161,1.78153,2.00046,1.85227,0.000843719,0.000843719,0.000843719
19,32.5236,1.35466,1.65961,1.48138,0.60041,0.62202,0.59738,0.28945,1.60621,2.21765,1.84846,0.000864522,0.000864522,0.000864522
20,33.9261,1.29227,1.6386,1.46838,0.8376,0.3949,0.54838,0.28062,1.61427,2.22809,1.96957,0.000882496,0.000882496,0.000882496
21,35.3029,1.30043,1.74212,1.49018,0.66586,0.50131,0.52271,0.27666,1.71473,2.46698,2.08466,0.000863116,0.000863116,0.000863116
22,36.6435,1.27626,1.55166,1.45023,0.39116,0.47619,0.44916,0.21109,1.74966,2.66352,2.13827,0.000834822,0.000834822,0.000834822
23,38.0149,1.31397,1.48621,1.41575,0.61877,0.60714,0.55402,0.29346,1.79294,2.42014,2.06799,0.000806528,0.000806528,0.000806528
24,39.329,1.30025,1.4663,1.41285,0.52937,0.47024,0.43355,0.2004,1.91776,2.93047,2.30083,0.000778233,0.000778233,0.000778233
25,40.6984,1.35998,1.71093,1.576,0.70662,0.32703,0.47083,0.18968,1.89888,3.17402,2.29757,0.000749939,0.000749939,0.000749939
26,42.3794,1.20119,1.39294,1.35529,0.35649,0.39968,0.42324,0.18658,1.84107,2.96993,2.2701,0.000721645,0.000721645,0.000721645
27,44.2899,1.22919,1.47947,1.46608,0.60646,0.32506,0.38409,0.17298,1.84076,2.74871,2.28182,0.000693351,0.000693351,0.000693351
28,45.7339,1.30963,1.46961,1.41279,0.32552,0.57514,0.46477,0.21273,1.96819,2.21548,2.29643,0.000665057,0.000665057,0.000665057
29,47.0633,1.23764,1.33163,1.3468,0.6487,0.55534,0.60674,0.27106,2.01785,1.92017,2.2246,0.000636762,0.000636762,0.000636762
30,48.4542,1.27288,1.52308,1.41031,0.85505,0.62876,0.67654,0.34715,1.79935,1.71695,2.00323,0.000608468,0.000608468,0.000608468
31,49.8541,1.25288,1.40756,1.3926,0.61828,0.64286,0.69894,0.36921,1.61441,1.67476,1.83697,0.000580174,0.000580174,0.000580174
32,51.3104,1.31662,1.31997,1.48114,0.61922,0.76212,0.70069,0.41699,1.51766,1.58798,1.78994,0.00055188,0.00055188,0.00055188
33,52.6153,1.22087,1.47745,1.45325,0.58791,0.78571,0.70121,0.41101,1.63217,1.60907,1.89514,0.000523586,0.000523586,0.000523586
34,53.9944,1.15802,1.43535,1.41409,0.66618,0.73913,0.70651,0.40768,1.62327,1.61391,1.87181,0.000495291,0.000495291,0.000495291
35,55.7334,1.11301,1.23356,1.29891,0.81803,0.60079,0.71572,0.38916,1.55791,1.60897,1.7814,0.000466997,0.000466997,0.000466997
36,57.6063,1.1652,1.38047,1.39013,0.62874,0.63557,0.6547,0.41388,1.43636,1.59318,1.62335,0.000438703,0.000438703,0.000438703
37,58.9932,1.18123,1.31156,1.38991,0.73471,0.54059,0.64348,0.38704,1.46071,1.63541,1.61976,0.000410409,0.000410409,0.000410409
38,60.4023,1.10263,1.17463,1.3137,0.81242,0.58395,0.67707,0.41118,1.47687,1.59773,1.63203,0.000382115,0.000382115,0.000382115
39,61.6777,1.14279,1.26359,1.33525,0.81557,0.54953,0.71438,0.41265,1.53019,1.60772,1.67492,0.00035382,0.00035382,0.00035382
40,63.021,1.07084,1.16288,1.24996,0.80034,0.56337,0.73456,0.3998,1.53875,1.67686,1.72635,0.000325526,0.000325526,0.000325526
41,65.9603,0.92554,1.24876,1.33258,0.69868,0.64446,0.72132,0.38312,1.59548,1.7261,1.78215,0.000297232,0.000297232,0.000297232
42,67.5537,0.94458,1.14237,1.37004,0.66347,0.64881,0.71503,0.37626,1.62803,1.77742,1.7738,0.000268938,0.000268938,0.000268938
43,69.5333,1.03654,1.08948,1.30983,0.62734,0.64881,0.69727,0.37478,1.68316,1.8004,1.80308,0.000240644,0.000240644,0.000240644
44,71.1353,1.14011,1.30868,1.56921,0.66624,0.64881,0.71366,0.38673,1.66096,1.78535,1.82611,0.000212349,0.000212349,0.000212349
45,72.4272,1.00473,1.16139,1.3217,0.59894,0.64881,0.71226,0.40745,1.63132,1.76658,1.79583,0.000184055,0.000184055,0.000184055
46,73.7968,0.88903,1.07133,1.25944,0.79937,0.58938,0.73789,0.42656,1.55602,1.72458,1.73368,0.000155761,0.000155761,0.000155761
47,75.1166,0.91074,1.13033,1.24027,0.80123,0.58695,0.74887,0.44674,1.53476,1.68187,1.70276,0.000127467,0.000127467,0.000127467
48,76.5253,0.99885,1.20536,1.47955,0.75846,0.64881,0.74681,0.45133,1.49896,1.63292,1.65437,9.91726e-05,9.91726e-05,9.91726e-05
49,77.9643,0.92931,1.05386,1.34099,0.79107,0.64881,0.75933,0.44491,1.48954,1.61498,1.65255,7.08784e-05,7.08784e-05,7.08784e-05
50,79.3029,0.88964,1.10263,1.31953,0.78428,0.64881,0.75035,0.44023,1.50152,1.61346,1.6567,4.25842e-05,4.25842e-05,4.25842e-05
